총 100건 (재고금액 > 0, 재고금액 높은 순 TOP 100)
2024-01-01 이후 발주 있음: 54건 / 없음: 46건

순위 | 품목코드 | 품목명 | SPEC | 재고수량 | 평균단가(원) | 재고금액(원) | 단위 | 위치 | 발주여부 | 최근발주일 | 발주건수 | 프로젝트
44|EX-19A|Sensor|감지거리1m, 입광 시 ON, B접점|223|43441|9.68734e+06|EA|C-S-4|있음|2026-03-16|13|MMC 기후 프레스 #2 (kob,20t)
45|SS-540A|IPC|SUPERMICRO, 4U|1|9.6e+06|9.6e+06|EA|*|있음|2025-06-04|4|세라티즈 HIM-F1 #1 (#24-1)
46|CWA3S-24-CD|LED Lights||196|48009|9.40976e+06|EA|C-A3-4|없음||0|
47|EZI-PE-ALL-42L-A-R|EZI-SERVOII-PE-ALL-42L-A-R|Ethernet ALL|24|391625|9.399e+06|EA|C-C5-3|있음|2026-02-13|5|PPW 프레스 #2
48|UR20-16DI-N|16 Digital NPN Input||143|64933|9.28542e+06|EA|C-A3-3|없음||0|
49|03-11-001-2|ROBOT SUPPORT  PLATE||178|50000|8.9e+06|EA|C-H1-1|있음|2025-04-11|2|연삭기개발-핸들러 (구매조건부)
50|07-00-001-8|Tool Body||31|280000|8.68e+06|EA|*|있음|2025-05-07|7|Press Tool (24-1)
51|50-02-01-0|Gripper Holder (2-Jaw)|SMC 2-Jaw Gripper|91|94924|8.63808e+06|EA|C-E1-3|있음|2024-01-19|1|한국 교세라 검사기 F2 (#20-1기존)
52|MXB-2712|2 Axis Pulse Train Outputs||30|281407|8.44221e+06|EA|C-A3-2|없음||0|
53|GRABLINK-FULL|FrameGrabber||10|829906|8.29906e+06|EA|*|있음|2025-12-05|4|MMC 검사기 F2 #1
54|MSMF022L1S2|Panasonic A6 ServoMotor||60|137083|8.22498e+06|EA|*|있음|2026-03-24|4|MMC 검사기 F2 #1
55|DTP7H-D|DTP7H-D|Teach Pendant: 7", Mobile(Handy), Cable : 5m, DTP-CUD-JB 포함|9|910000|8.19e+06|EA|C-B3-5|있음|2026-03-27|23|MMC 기후 프레스 #2 (kob,20t)
56|WBF130X86-S24W|M BTM VISION|MA&MI BTM BACK LIGHT [ 1CH, WHITE, 24V STROBE ]|20|400000|8e+06|EA|C-B5-2|없음||0|
57|ABR090-004-S1-P2|Reducer|ABR090-004-S1-P2[MSME152S1G]|8|975326|7.80261e+06|EA|*|있음|2025-03-28|5|Press 상부 (24-1)
58|PHRC120-R-150-40B-NS|Robot|Clean Cartesian Robot Ball Screw Type/PHRC120-R-150-40B-N-S|10|780000|7.8e+06|EA|*|있음|2026-03-03|2|2026 공용자재 구매
59|AB090-004-S2-P1|Reducer|(MSMF102L1G5)|11|703808|7.74189e+06|EA|C-E1-5|있음|2026-01-12|9|CTA PVD-UL #2
60|50-01-07-0|3Jaw Pin Holder Ø0.8|Grip : Ø5.7, Ungrip : Ø1.8|156|49535|7.72746e+06|EA|C-B1-1|있음|2024-10-14|4|탕가로이PVD 그리퍼 홀더 구매 건
61|03-11-026-3|X-AXIS ROBOT PLATE||42|180000|7.56e+06|EA|C-F3-1|있음|2025-01-31|2|Press 상부 (24-1)
62|LFV3-G-50SW|동축조명|W 60 mm x D 84 mm x H 57 mm (0.3mm half mirror)|4|1.77e+06|7.08e+06|EA|C-A5-4|없음||0|
63|SLWL-280-216-4C|LED BAR LIGHT_SQUARE TYPE||2|3.47143e+06|6.94286e+06|EA|C-B5-4|없음||0|
64|SPI060-S005S-B|Reducer|MSMD042S1T|28|247000|6.916e+06|EA|C-C4-4|있음|2025-10-30|4|MMC 기후 프레스 #2 (kob,20t)
65|HAR_100_1-13|Harness|(HP3 상부 하네스) 상부직교 Assy|14|490040|6.86055e+06|SET|*|있음|2026-03-13|7|지우쟝진루 프레스 #4 (Ost,SP160)
66|ACA1300-60GM|GigE Camera|6.8x5.4㎜/ 60fps/ 1282x1026|17|400555|6.80944e+06|EA|*|있음|2025-12-30|22|YG1 포장기 #4 (#22-5)
67|19-24-04-1|Up Down Shaft|정밀급|42|160642|6.74694e+06|EA|*|있음|2025-11-10|6|PickupR (25-1)
68|MBDHT2510BA1|Panasonic A5B ServoDriver||27|245647|6.63247e+06|EA|C-D3-5|없음||0|
69|EZI-EC-ALL-42L-A-R|EZI-SERVOII-EC-ALL-42L-A-R|EtherCAT ALL|15|439600|6.594e+06|EA|*|있음|2026-01-26|8|CTA PVD-UL #2
70|WSLLPD280-24W|WSLLPD280-24W ASSY|4CH Line Bar Light, 24V, WHITE|5|1.3e+06|6.5e+06|EA|*|있음|2024-11-06|2|2024 공용자재 구매


71|MDDLN45BL|Panasonic A6BL ServoDriver||15|417500|6.2625e+06|EA|C-D3-3|없음||0|
72|PHRC160-S-430-75-H-S|Robot|Clean Cartesian Robot Ball Screw Type|6|1.04e+06|6.24e+06|EA|*|있음|2025-03-31|2|깐저우 교세라 프레스 #3 (kob,10tS)
73|PHRC160-I-430-S|Idler Robot|도면참조/아이들러로봇|7|883000|6.181e+06|EA|C-F1-3|있음|2024-06-26|1|2024 공용자재 구매


74|HTR1010AC7S-172|Ball Screw|도면참조 / Raydent|36|170462|6.13663e+06|EA|*|있음|2026-04-06|16|YG1 PVD #2 개조
75|OR-Y4C0-XMX00|FrameGrabber|Dalsa, CameraLinkGrabber|8|765000|6.12e+06|EA|C-A5-4|없음||0|
76|50-04-46-0|Gripper Holder (Vacuum)||36|170000|6.12e+06|EA|C-E1-2|없음||0|
77|WRH80X38-12W|Ring High Angle MP|Ring High angle Light, 12V, White|28|216517|6.06248e+06|EA|C-A5-3|있음|2025-10-13|2|2025 공용자재 구매
78|MDDHT5540BA1|Panasonic A5B ServoDriver||25|241759|6.04398e+06|EA|C-D3-3|없음||0|
79|MDDLN55BL|Panasonic A6BL ServoDriver||14|422100|5.9094e+06|EA|C-D3-1|없음||0|
80|SIO-20P|IO INTERFACE MODULE|24VDC Ez-Servo Plus-R Type|317|18004|5.70727e+06|EA|C-A4-2|있음|2025-02-05|13|연삭기개발-핸들러 (구매조건부)
81|WSS105X80-3W|WSS105X80-3W-ASSY|4CH SPOT LIGHT, 3V, WHITE|19|300000|5.7e+06|EA|C-A5-3|있음|2025-01-08|1|2025 공용자재 구매
82|E2E-C04S12-WC-C1|Sensor||149|38161|5.68599e+06|EA|C-S1-3|없음||0|
