item_cd | item_nm | spec | item_lvl1 | item_lvl2 | item_lvl3 | use_yn | maker
50-01-55-1 | 3Jaw Pin Holder Ø1.2 | Grip : Ø6.4, Ungrip : Ø2.6 (실리콘커버반영) |  |  |  | Y | 가공
50-01-55-2 | 3Jaw Pin Holder Ø1.2 | Grip : Ø6.4, Ungrip : Ø2.6 (실리콘커버반영) |  |  |  | Y | 가공
50-01-56-0 | 3Jaw Pin Holder Ø1.0 | Grip : Ø6.0, Ungrip : Ø2.2 (실리콘커버반영) |  |  |  | Y | 가공
50-01-57-0 | 3Jaw Pin Holder Ø0.8 | Grip : Ø5.6, Ungrip : Ø1.8 (실리콘커버반영) |  |  |  | Y | 가공
50-01-58-0 | 3Jaw Reflective plate | HXNN4-5 3EA 구매 후 본딩 |  |  |  | Y | 가공
50-01-59-0 | 3Jaw Pin Ø2.5 | Ø2.5, 19.0mm |  |  |  | Y | 
50-02-01-0 | Gripper Holder (2-Jaw) | SMC 2-Jaw Gripper |  |  |  | Y | 정밀가공
50-02-02-0 | 2-Jaw GRIPPER | 폭 4.4mm~0.4mm |  |  |  | Y | 정밀가공
50-02-03-0 | Jig |  |  |  |  | Y | 
50-02-03-1 | Jig |  |  |  |  | Y | 가공
50-02-04-0 | 2-Jaw GRIPPER |  |  |  |  | Y | 정밀가공
50-02-04-1 | 2 Jaw Gripper |  |  |  |  | Y | 
50-02-05-0 | 2-Jaw GRIPPER | 폭 5.0mm~1.0mm |  |  |  | Y | 정밀가공
50-02-06-0 | 2-Jaw GRIPPER | 폭 6.4mm~2.4mm |  |  |  | Y | 정밀가공
50-02-06-0-SAB | Gripper |  |  |  |  | Y | 3D Printing
50-02-06-1 | 2Jaw Pin 14.5mm 2.4-6.4 | W5.0mm, L14.5mm, range 2.4-6.4 |  |  |  | Y | 정밀가공
50-02-07-0 | Stopper Ring |  |  |  |  | Y | 
50-02-08-0 | 2Jaw Pin 14.5mm 0.0-3.0 | W5.0mm, L14.5mm, range 0.0-3.0 |  |  |  | Y | 
50-02-09-0 | 2Jaw Pin 14.5mm 1.0-5.0 | W5.0mm, L14.5mm, range 1.0-5.0 |  |  |  | Y | 정밀가공
