idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
58,ok,2_sensor,fx-500_k_cata.pdf,Panasonic_fx-500_WiringGuide_KO.pdf,Panasonic,fx-500,WiringGuide,KO,8994803,40,580cc9a95b31a647d0fe9ae32ea514d6
59,ok,2_sensor,Product_information_CQ4_Capacitive_proximity_sensor_en_IM0050723.pdf,Unknown_Product_WiringGuide_EN.pdf,Unknown,Product,WiringGuide,EN,1255735,12,fe55018f62dc17c0dd74288d94aebceb
60,ok,2_sensor,Quotation (주)윈텍오토메이션 (Videojet VJ1620HR X 2) (특별공급가) - 20191220.pdf,Videojet_Quotation_EthernetInterface_KO.pdf,Videojet,Quotation,EthernetInterface,KO,220430,1,8e4e46c018e38823bbde1fa7f59d85ac
61,ocr,2_sensor,operating_instructions_od_value_en_ko_im0090617.pdf,Keyence_operating_Manual_EN.pdf,Keyence,operating,Manual,EN,1382656,0,52f903d8824c9ef3f5546007c1230469
62,ok,2_sensor,Quotation (주)윈텍오토메이션 (Videojet VJ7330_20W) (특별공급가) - 20191220.pdf,Videojet_Quotation_Manual_KO.pdf,Videojet,Quotation,Manual,KO,217360,1,ea0201083a35b9940dc7a3cfa60b884e
63,ocr,2_sensor,RF02-17566A AGV SENSOR BRACKET.pdf,Unknown_RF02-17566A_Manual_EN.pdf,Unknown,RF02-17566A,Manual,EN,996595,1,a041734434550a9f2d93209217070e90
64,ocr,2_sensor,Operating_instructions_UM12_ja_en_IM0071470.PDF,Keyence_Operating_Manual_JA.PDF,Keyence,Operating,Manual,JA,671869,2,fae5be9b7b2a59fcb3d67d651409f1b1
65,ok,2_sensor,multicam-acquisition-principles-1.1.0.pdf,Unknown_multicam-acquisition_SetupGuide_EN.pdf,Unknown,multicam-acquisition,SetupGuide,EN,1889268,23,ac65f7d9d3ab3518ea2bb6eb54ef15ea
66,ocr,2_sensor,RF01-26167A SENSOR CABLE-2.pdf,Unknown_RF01-26167A_Manual_EN.pdf,Unknown,RF01-26167A,Manual,EN,89963,1,0a8a9f7ea8089c66117c81deb66fde9b
67,ocr,2_sensor,RF00-17891A VACUUM SENSOR CABLE.pdf,Unknown_RF00-17891A_Manual_EN.pdf,Unknown,RF00-17891A,Manual,EN,94295,1,75d7d9c96ee862822e366261a0c2d0b6
