old_filename,new_filename,manufacturer,model,doctype,language,category_valid,notes
Panasonic_FX-100_SetupGuide_KO.pdf,Panasonic_FX-100_MaintenanceManual_KO.pdf,Panasonic,FX-100,MaintenanceManual,KO,true,
Panasonic_HG-C_Manual_KO.pdf,Panasonic_HG-C_SetupGuide_KO.pdf,Panasonic,HG-C,SetupGuide,KO,true,
Panasonic_Unknown_MaintenanceManual_KO.pdf,Panasonic_SF4D_CommManual_KO.pdf,Panasonic,SF4D,CommManual,KO,true,
Panasonic_Unknown_MaintenanceManual_KO_2.pdf,Panasonic_FX-500_SetupGuide_KO.pdf,Panasonic,FX-500,SetupGuide,KO,true,
Panasonic_Unknown_Manual_KO.pdf,Panasonic_SF4D_Manual_KO.pdf,Panasonic,SF4D,Manual,KO,true,
Panasonic_Unknown_Safety_KO.pdf,Panasonic_SF4D_CommManual_KO_v2.pdf,Panasonic,SF4D,CommManual,KO,true,
SICK_CQ4_InstallGuide_EN.pdf,SICK_CQ4_InstallGuide_EN.pdf,SICK,CQ4,InstallGuide,EN,true,
SICK_SICK_InstallGuide_EN.pdf,SICK_CHoose_InstallGuide_EN.pdf,SICK,CHoose,InstallGuide,EN,true,
SICK_SICK_MaintenanceManual_EN.pdf,SICK_HS_8M-ITL_UserManual_JA.pdf,SICK,HS_8M/ITL,UserManual,JA,true,
SICK_SICK_MaintenanceManual_KO.pdf,SICK_EN-IEC_InstallGuide_KO.pdf,SICK,EN/IEC,InstallGuide,KO,true,
SICK_SICK_Manual_EN.pdf,SICK_UM30_InstallGuide_EN.pdf,SICK,UM30,InstallGuide,EN,true,
SICK_SICK_Manual_KO.pdf,SICK_CQ35-25NNP-KW1_Manual_KO.pdf,SICK,CQ35-25NNP-KW1,Manual,KO,false,
SICK_UM30_Manual_EN.pdf,SICK_UM30_InstallGuide_EN_v2.pdf,SICK,UM30,InstallGuide,EN,true,
SICK_Unknown_MaintenanceManual_KO.pdf,SICK_EN-IEC_InstallGuide_KO_v2.pdf,SICK,EN/IEC,InstallGuide,KO,true,
SICK_Unknown_Manual_KO.pdf,SICK_CQ35-25NNP-KW1_Manual_KO_v2.pdf,SICK,CQ35-25NNP-KW1,Manual,KO,false,
Unknown_AL-69545-AF_Manual_KO.pdf,Keyence_AL-69545-AF_SetupGuide_KO.pdf,Keyence,AL-69545-AF,SetupGuide,KO,true,mfr inferred from model prefix
Unknown_AW00015119000_InstallGuide_EN.pdf,Basler_AW00015119000_CommManual_EN.pdf,Basler,AW00015119000,CommManual,EN,true,
Unknown_AW00015119000_UserManual_EN.pdf,Basler_AW00015119000_CommManual_EN_v2.pdf,Basler,AW00015119000,CommManual,EN,true,
Unknown_AW00089316000_InstallGuide_EN.pdf,Basler_AW00089316000_CommManual_EN.pdf,Basler,AW00089316000,CommManual,EN,false,suggest: actuator/drive
Unknown_AW00089316000_UserManual_EN.pdf,Basler_AW00089316000_CommManual_EN_v2.pdf,Basler,AW00089316000,CommManual,EN,false,suggest: actuator/drive
Unknown_AW00130804000_InstallGuide_EN.pdf,Basler_AW00130804000_CommManual_EN.pdf,Basler,AW00130804000,CommManual,EN,false,suggest: actuator/drive
Unknown_DA-S_Manual_KO.pdf,Unknown_DA-S_SetupGuide_KO.pdf,,DA-S,SetupGuide,KO,false,manufacturer unidentified
Unknown_DF-20_MaintenanceManual_KO.pdf,Keyence_DF-20_Manual_KO.pdf,Keyence,DF-20,Manual,KO,true,mfr inferred from model prefix
Unknown_DF-20_Manual_KO.pdf,Keyence_DF-20_Manual_KO_v2.pdf,Keyence,DF-20,Manual,KO,true,mfr inferred from model prefix
Unknown_DF-20_Manual_KO_2.pdf,Keyence_DF-20_Manual_KO_v3.pdf,Keyence,DF-20,Manual,KO,true,mfr inferred from model prefix
Unknown_DF-20_Manual_KO_3.pdf,Keyence_DF-20_Manual_KO_v4.pdf,Keyence,DF-20,Manual,KO,true,mfr inferred from model prefix
Unknown_EX-10_Manual_KO.pdf,Panasonic_EX-10_Manual_KO.pdf,Panasonic,EX-10,Manual,KO,true,mfr inferred from model prefix
Unknown_FOQ-0527-101_Manual_KO.pdf,Unknown_FOQ-0527-101_Manual_KO.pdf,,FOQ-0527-101,Manual,KO,true,manufacturer unidentified
Unknown_FX-100_Manual_KO.pdf,Panasonic_FX-100_MaintenanceManual_KO_v2.pdf,Panasonic,FX-100,MaintenanceManual,KO,true,
Unknown_FX-300_Manual_KO.pdf,Panasonic_FX-300_SetupGuide_KO.pdf,Panasonic,FX-300,SetupGuide,KO,true,mfr inferred from model prefix
Unknown_FX-300_WiringGuide_KO.pdf,Panasonic_FX-300_SetupGuide_KO_v2.pdf,Panasonic,FX-300,SetupGuide,KO,true,mfr inferred from model prefix
Unknown_GFS4400_Manual_KO.pdf,Datalogic_GFS4400_CommManual_KO.pdf,Datalogic,GFS4400,CommManual,KO,true,
Unknown_GFS4500_ParameterManual_EN.pdf,Datalogic_GFS4500_CommManual_EN.pdf,Datalogic,GFS4500,CommManual,EN,false,
Unknown_GS-M_Manual_KO.pdf,Panasonic_GS-M_Manual_KO.pdf,Panasonic,GS-M,Manual,KO,true,mfr inferred from model prefix
Unknown_GX-F_Manual_KO.pdf,Panasonic_GX-F_Manual_KO.pdf,Panasonic,GX-F,Manual,KO,true,mfr inferred from model prefix
Unknown_GX-F_WiringGuide_KO.pdf,Panasonic_GX-F_Manual_KO_v2.pdf,Panasonic,GX-F,Manual,KO,true,mfr inferred from model prefix
Unknown_HL-G1_MaintenanceManual_KO.pdf,Keyence_HL-G1_CommManual_KO.pdf,Keyence,HL-G1,CommManual,KO,true,mfr inferred from model prefix
