idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
46,ok,3_hmi,삼성전자 FARA .pdf,Unknown_FARA_SetupGuide_KO.pdf,Unknown,FARA,SetupGuide,KO,280960,10,4e7a699184279c653b86aa92622dca68
47,ok,3_hmi,top5 series 본체 사용설명서.pdf,Unknown_top5_SetupGuide_KO.pdf,Unknown,top5,SetupGuide,KO,840883,16,8f56e3d27117888686ad3612b9bc52d7
48,ok,3_hmi,전송설정-v7.0.pdf,Unknown_v7_SetupGuide_KO.pdf,Unknown,v7,SetupGuide,KO,527282,21,75ad3e1baf26f9053f8bef8c34875824
49,ok,3_hmi,슬레이브.pdf,Unknown_Unknown_Manual_KO.pdf,Unknown,Unknown,Manual,KO,323068,15,0d469e2a0baa8215f37119aa9d70e08d
50,ok,3_hmi,통신 개요.pdf,Unknown_Unknown_ParameterManual_KO.pdf,Unknown,Unknown,ParameterManual,KO,86503,8,bd6f72feff7420b1288745898840cff7
51,ok,3_hmi,GT15 본체취급 설명서.pdf,Unknown_GT15_MaintenanceManual_KO_v2.pdf,Unknown,GT15,MaintenanceManual,KO,38886580,546,24f94d4efc1b5d1ae9ee8856fb0eb4e5
52,ok,3_hmi,TOP Designer 사용설명서 (051230).pdf,Unknown_TOP_ParameterManual_KO.pdf,Unknown,TOP,ParameterManual,KO,4466287,380,d13c882b49d1fb93aacf7a5686c0c9a1
53,ok,3_hmi,GT11 Handy GOT User's Manual.pdf,Unknown_GT11_UserManual_EN.pdf,Unknown,GT11,UserManual,EN,57567390,1038,6e9e8c83257e1c54b14f2c43e620988d
54,ok,3_hmi,GT16+사용자매뉴얼(ENG).pdf,Unknown_GT16_UserManual_EN.pdf,Unknown,GT16,UserManual,EN,27705358,602,95c4ee54855b2b39072a3feb2f9efd44
55,ok,3_hmi,GT14핸디GOT_유저메뉴얼(ENG_Ver.).pdf,Unknown_GT14_UserManual_EN.pdf,Unknown,GT14,UserManual,EN,51216912,1546,13609d736a521100b0ef814f87e7bac4
56,ok,3_hmi,GOT1000 Connections Manual.pdf,Unknown_GOT1000_WiringGuide_EN.pdf,Unknown,GOT1000,WiringGuide,EN,51341247,1658,e799cf47add8fca7a0c4a5418fc6614a
57,ok,3_hmi,GOT1000 교육교재.pdf,Mitsubishi_GOT1000_Manual_EN.pdf,Mitsubishi,GOT1000,Manual,EN,119986148,255,6c88b06a0491d8bfb02e4c9d8e4e84d5
58,ok,3_hmi,GT Designer Version2 작화메뉴얼.pdf,Unknown_GT_MaintenanceManual_KO.pdf,Unknown,GT,MaintenanceManual,KO,81940501,1750,544be251595039b20b7aa68357005aa3
59,ok,3_hmi,GOT 시리즈 접속매뉴얼.pdf,Unknown_GOT_MaintenanceManual_KO.pdf,Unknown,GOT,MaintenanceManual,KO,144069169,1701,c49f3adb36f7ca50eba9ae2e5b603402
