프로젝트에 장비 키워드 없는 품목 (발주이력 장비유형 있음): 479건

코드 | 품명 | 수량 | 금액 | 프로젝트 | 장비유형
LENS-RING-1MM | 접사링 | 23 | 115,000 | 교세라(일본) 라벨부착기 #2 | 프레스/핸들러
S5M-710L-15W | Timing Belt | 4 | 111,612 | 2020 무상 C/S 자재구매 | 검사기
SL-01537RB20 | Robo Chain | 2 | 110,000 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/핸들러
USB-128GB | PC잡자재 | 4 | 107,840 | [선제작] HIM-F1 #21-2 개조 | 검사기/소결/프레스/핸들러
50-04-29-0 | Vacuum Gripper | 9 | 107,199 | 한국교세라 부품 (Vac gripper 외)  | CVD
07-00-009-1 | CLAMP RING | 8 | 104,000 | OKE 틸팅 툴 & TP  | 프레스/핸들러
GZ30015 | Pressure Relief Valve | 8 | 101,216 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스
MULTI-TAP-6P-5.0M | PC잡자재 | 3 | 101,100 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
VM131F-6-35R | Mechanical Valve | 2 | 100,000 | WTA 개발 장비 ( 유닛 외 ) | PVD
50-13-38-0 | Guide Center Pin | 2 | 100,000 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
14-07-41-0 | Side Brush | 2 | 100,000 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
R-BOX-60 | Resistance BOX 60 Ohm | 4 | 100,000 | 2024 개발용 자재 구매(단품,비프로젝트) | 검사기/핸들러
IE-BI-RJ45-FJ-A | 인터페이스 단자대 | 8 | 98,400 | 2018 공용 자재 구매 | 프레스/핸들러
ZFC-EL-3 | Filter Element | 55 | 98,175 | [선제작] HIM-F1 #21-2 개조 | 핸들러
S-ATD-30 | Lift Assist Stay Damper | 8 | 96,000 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러/호닝형상
67-03-41-0 | Gripper(C09) | 2 | 94,894 | 탕가로이 반전 그리퍼 판매건 | PVD
D-SUB(RGB) | PC잡자재 | 8 | 94,816 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/프레스/핸들러
HXN15-10 | Magnetic | 12 | 92,508 | 2024 개발용 자재 구매(단품,비프로젝트) | CVD/PVD/검사기/포장기/핸들러/호닝형상
FGS15049-150 | DAMPER | 3 | 91,752 | 2024 프로젝트외 무상 자재 | 검사기/핸들러
SSE2BS-MX10-135 | LM Guide   | 2 | 90,546 | 공용자재(미배정) | 교정
60-99-08-1 | Gripper(V11) | 2 | 90,000 | 탕가로이 반전 그리퍼 판매건 | PVD
60-99-26-0 | Gripper(D07) | 2 | 90,000 | 탕가로이 반전그리퍼 추가 구매건 | CVD
KQ2S06-M5N | Fitting | 74 | 88,800 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/프레스/핸들러/호닝형상
07-00-021-0 | Air Blow Brkt | 4 | 88,000 | 2018 공용 자재 구매 | 프레스/핸들러
EX-13EB | Sensor | 2 | 88,000 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/포장기/핸들러/호닝형상
ST-1228 | Input Module 8point | 2 | 88,000 | 한국야금 20-7호기 I/O Module 교체건 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
07-05-042-0 | Timing Pulley | 2 | 86,000 | 2018 공용 자재 구매 | 프레스/핸들러
GLS-M1 | Sensor | 19 | 83,600 | [선제작] HIM-F1 #21-2 개조 | 포장기/프레스/핸들러
SJ1225HA2BAT | FAN | 8 | 82,816 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/소결/포장기/핸들러
07-05-043-0 | Bevel Gears | 1 | 82,500 | C/S 자재 구매 | 프레스/핸들러
07-05-043-0 | Bevel Gears | 1 | 82,500 | C/S 자재 구매 | 프레스/핸들러
S5M-1260L-15W | Belt | 2 | 80,800 | 2020 개발용 자재 구매(단품,비프로젝트) | 검사기/핸들러
KQ2H04-00A | Fitting | 50 | 80,050 | 2025 소모성 자재 구매 | 프레스
02-60-124-0 | Absorber Brkt | 2 | 80,000 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러
OR2501200 | O-Ring | 124 | 79,732 | [개발] ATC모듈개발 | CVD/PVD
CDJP2B6-10D-B | Cylinder | 4 | 75,936 | 2025 프로젝트외 무상 자재 | PVD
91-10-26-1 | Jig Limiter | 1 | 75,000 | 다이제트 HIM-F1 #1 (#24-2) | 핸들러
07-05-062-0 | Vacuum Holder Shaft | 1 | 75,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-062-0 | Vacuum Holder Shaft | 1 | 75,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-038-0 | VACUUM NUT | 3 | 73,770 | 한국야금 복합 툴 | 프레스/핸들러
OR1501300 | O-Ring | 105 | 73,500 | 2025 개발용 자재 구매(단품,비프로젝트) | CBN/프레스/핸들러
AS1201F-M5-04A | Speed Controller | 16 | 72,944 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
07-05-014-0 | Hinge Spacer | 9 | 72,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-061-0 | Spacer | 9 | 72,000 | 한국야금 복합 툴 | 프레스/핸들러
E3Z_D61 | Sensor | 2 | 72,000 | 2020 무상 C/S 자재구매 | 검사기
LHSSWF8 | Bush | 4 | 71,556 | 화루이 라벨부착기 #1 | 교정
Film0.85 | Protection Film 8pi | 122 | 70,661 | 대구텍 Protection Film 요청건 | 검사기/핸들러
QRAR04112 | Quad_Ring | 47 | 70,500 | OKE 맞춤형 3조 툴  | 프레스/핸들러
CRBH8016A | Cross Roller Bearing | 1 | 70,200 | OKE 부품 6종 판매건 | PVD
07-01-006-0 | Pulley | 1 | 70,000 | 교세라 ATC 툴 수리건 | 프레스/핸들러
07-01-006-0 | Pulley | 1 | 70,000 | 교세라 ATC 툴 수리건 | 프레스/핸들러
07-38-003-0 | Bearing Housing | 1 | 70,000 | 내몽골 2jaw 구매건 | 프레스
07-00-019-1 | Air Blower Nozzle | 1 | 70,000 | 2018 공용 자재 구매 | 프레스/핸들러
LHIFCM8 | Linear Bush | 8 | 69,848 | 교세라 후지산기핸들러 #1 | 핸들러
FWZJK-D10-V5-P3- | Plastic Washer | 20 | 68,740 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/핸들러
ZH30-X185 | 진공블로 | 1 | 68,267 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스/핸들러
BYH6070 | Hinge | 23 | 68,172 | 교세라(일본) 라벨부착기 #2 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
ZP3-T02US-A3 | Vacuum Pad | 10 | 68,000 | 썬궁 마스터&슬레이브 핀블럭, 툴 브러쉬, 버큠 패드&소켓 판매건 | 프레스/핸들러
07-40-25-1 | Sensor Cover | 2 | 68,000 | [개발] 듀얼툴 개선개발 | 프레스
S5M-940L-15W | Timing Belt | 2 | 65,200 | 2020 개발용 자재 구매(단품,비프로젝트) | 검사기/핸들러
14-00-010-1 | BRUSH | 1 | 65,000 | 텐궁 디버링 브러쉬 판매건 | 프레스/핸들러
RMTWK12-165-S60-NAR | Trapezoidal Thread Screw | 1 | 64,172 | 교세라(일본) 라벨부착기 #2 | 교정
B50S3M435 | TimingBelt | 26 | 62,400 | 2025 프로젝트외 무상 자재 | 프레스/핸들러
50-13-27-0 | Stopper Cover | 10 | 60,000 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/핸들러
91-50-20-0 | SUS Mirror | 2 | 60,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 핸들러
ACQ16X15S0DMSGS2 | Cylinder | 4 | 58,712 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스
07-05-041-0 | Bevel Gears | 1 | 58,000 | 한국야금 복합 툴 | 프레스/핸들러
PJG-8-N | Vacuum Pad | 11 | 57,310 | 2024 개발용 자재 구매(단품,비프로젝트) | 포장기
OR1501800 | O-RING | 70 | 56,000 | [개발] 복합툴 개발 | 프레스/핸들러
S8KA30B | Reducer | 2 | 55,800 | 교세라 라벨부착기 #1 | 교정
HXN4-5 | Magnetic | 20 | 55,780 | 2020 개발용 자재 구매(단품,비프로젝트) | 포장기
19-24-29-1 | Ball Screw Nut | 1 | 55,452 | 한국야금 Agathon 350 T&B 핸들러 | CVD/PVD/소결/핸들러
Film30u | Urethane 원형 Film 30pi | 60 | 54,000 | 교세라 2죠 그립퍼 및 필름 요청건 | 검사기
C-30-SG-50A-5P | 케이블 부시 | 1 | 52,177 | 다인정공 레이저마킹기 #1 | CVD/PVD/소결/포장기
22-52-25-0 | Light Bracket | 1 | 52,000 | 2025 조명 내부제작 구매용 | 검사기
GCPW29-8-10 | Coupling | 3 | 50,454 | 2024 프로젝트외 무상 자재 | PVD/검사기
07-05-006-0 | Timing Pully | 1 | 50,000 | 한국야금 복합 툴 | 프레스/핸들러
07-00-011-1 | Tool Cover | 5 | 50,000 | 2018 공용 자재 구매 | 프레스/핸들러
M-3P | Plug | 85 | 48,450 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
S5M-550L-15W | Timing Belt | 2 | 46,400 | 2020 개발용 자재 구매(단품,비프로젝트) | 검사기/핸들러
22-52-26-0 | Rib | 2 | 46,000 | 2025 개발용 자재 구매(단품,비프로젝트) | 검사기
07-05-019-0 | Brush Housing | 1 | 45,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-012-0 | Air Blow B | 1 | 45,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-011-0 | Air Blow A | 1 | 45,000 | 2018 공용 자재 구매 | 프레스/핸들러
07-38-010-0 | Air Blow Brkt | 1 | 45,000 | 내몽골 2jaw 구매건 | 프레스
07-05-017-0 | Idler BKT B | 1 | 45,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-064-0 | Timing Shaft Holder | 1 | 45,000 | 한국야금 복합 툴 | 프레스/핸들러
BYH4050 | Hinge | 21 | 44,100 | 교세라(일본) 라벨부착기 #1 | 교정
FASGP25-34 | Sponge Cushion | 8 | 42,384 | 일본교세라 라벨 부착기 부속품 요청건 | 포장기
41-03-06-0 | Rib3 | 2 | 42,000 | 교세라(일본) 라벨부착기 #2 | 포장기
07-05-031-0 | Timing Pulley | 1 | 42,000 | 한국야금 복합 툴 | 프레스/핸들러
07-40-07-1 | Sensor Cover | 2 | 42,000 | [개발] 듀얼툴 개선개발 | 프레스
C-HXNN10-10 | Magnet | 14 | 40,278 | [선제작] HIM-F1 #21-2 개조 | 검사기/소결/핸들러
SENCF3-80 | Sensor Rail | 4 | 40,212 | 2024 개발용 자재 구매(단품,비프로젝트) | PVD/핸들러/호닝형상
07-05-023-0 | Hing Rod Holder | 1 | 40,000 | 2018 공용 자재 구매 | 프레스/핸들러
CDQ2B32-40DZ | Cylinder | 1 | 39,800 | 교세라 라벨부착기 #1 | 교정
PHW804 | Fitting | 10 | 39,490 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스
TWTAM10-3-4 | Tab Washer | 14 | 39,200 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/소결/핸들러
CBSTSR5-8 | Small Head Bolt | 10 | 38,040 | 다이제트 HIM-F1 #1 (#24-2) | 핸들러
36-07-01-1 | E-Con Brkt | 4 | 38,000 | 교세라(일본) 라벨부착기 #1 | 포장기
AW30-03BG | Regulator | 1 | 37,400 | 다인정공 WBM #1 | 교정/프레스/핸들러
50-13-33-1 | Guide Pin | 2 | 37,000 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
02-60-128-0 | Stay Brkt | 1 | 37,000 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러
ASGP25-50 | Sponge Cushion | 8 | 36,952 | 2025 프로젝트외 무상 자재 | 포장기
ZH20-X185 | 진공플로 | 1 | 36,770 | 다인정공 레이저마킹기 #1 | 검사기/포장기/프레스/핸들러
636ZZ | BALL BEARING | 16 | 36,256 | 한국야금 복합 툴 | 프레스/핸들러
99-46-74-1 | Hopper Block-1 | 1 | 36,194 | [개발] 스페이서 테스트지그 | PVD/검사기
07-05-046-0 | Air Cover | 1 | 35,000 | 한국야금 복합 툴 | 프레스/핸들러
PMUF4H5-120-120 | Punching Metal Plate | 1 | 34,809 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 핸들러
USB-AM-BM-1M | PC잡자재 | 18 | 34,200 | 프로젝트 이관 (HS2CF502009001)  | PVD
S5M-740L-W10 | Timing Belt | 2 | 33,908 | 2020 무상 C/S 자재구매 | 검사기
MR126ZZ | Ball Bearing | 13 | 32,552 | [개발] 스페이서 테스트지그 | PVD/포장기/프레스/핸들러/호닝형상
COVER | TCS13 SOL | 50 | 31,000 | 2021 소모성 자재 구매 | 프레스
07-40-92-1 | Vacuum Holder Shaft | 4 | 30,448 | 와이지원 청소툴,베큠툴 수리 요청건 | 프레스
07-05-063-0 | Gripper BTM Cover | 1 | 30,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-049-0 | BRG COVER | 1 | 30,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-048-0 | Rotater shaft | 1 | 30,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-037-0 | VACUUM HOLDER | 1 | 30,000 | 한국야금 복합 툴 | 프레스/핸들러
54-10-23-2 | Centering Pin Plate (Ø2.6 | 1 | 30,000 | PPW 소모품 및 스페어 요청건 | PVD
07-05-039-0 | BRUSH | 1 | 30,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-008-0 | Timing Pulley | 1 | 30,000 | 한국야금 복합 툴 | 프레스/핸들러
M-3ALU-4 | Miniature Fitting | 20 | 28,800 | 2026 소모성자재 구매 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
WLHM6 | Washer | 8 | 28,504 | [개발] 스페이서 테스트지그 | PVD/검사기/프레스
MYN-8 | 공압용 립 패킹 MY타입 | 8 | 28,000 | [개발] 듀얼툴 개선개발 | 프레스
02-60-127-0 | Stay Brkt | 1 | 28,000 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러
PHW803 | Fitting | 10 | 27,010 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스
END-PLATE-25A | 세퍼레이터 | 1 | 27,000 | 2021 소모성 자재 구매 | 프레스/핸들러
POC4-M5M-RMQ | Fitting | 22 | 26,400 | YG1 후지산기 핸들러 #2 | PVD/프레스/핸들러/호닝형상
BW9BTAA-S3W | ELCB Cover | 8 | 26,400 | 2026 소모성자재 구매 | CVD/검사기/프레스/핸들러
88-09-104-0 | END PLATE | 2 | 26,000 | 다이제트 HIM-F1 #1 (#24-2) | 핸들러
HXNN10-10 | Magnetic | 8 | 25,592 | 2025 개발용 자재 구매(단품,비프로젝트) | 핸들러/호닝형상
07-00-020-1 | Air Blower Plate | 1 | 25,000 | 2018 공용 자재 구매 | 프레스/핸들러
07-05-022-0 | Hinge Pin | 1 | 25,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-032-0 | Vacuum Holder Shaft | 1 | 25,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-047-0 | BRG COVER | 1 | 25,000 | 한국야금 복합 툴 | 프레스/핸들러
67-00-28-0 | Pin | 1 | 25,000 | OKE 부품 Large Pin 등 판매건 | PVD
07-05-018-0 | Idler Shaft | 1 | 25,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-013-0 | Hinge Shaft | 1 | 25,000 | 2018 공용 자재 구매 | 프레스/핸들러
LCP-31FM-1A | CP | 3 | 23,886 | 한국야금 편면 핸들러 청주#1 | 프레스/핸들러
07-05-038-0 | VACUUM NUT | 1 | 23,500 | 한국야금 복합 툴 | 프레스/핸들러
HXNN4-10 | Magnetic | 5 | 23,095 | 다이제트 HIM-F1 #1 (#24-2) | 포장기/핸들러
41-06-43-1 | Brkt | 1 | 23,000 | 교세라(일본) 라벨부착기 #1 | 포장기
KC-M272-1 | Magnetic | 2 | 23,000 | 한전원자력 APTU #3 | CVD/포장기/프레스/핸들러/호닝형상
LCP-33FM-7A | CP | 1 | 22,680 | 한국야금 WBM-ECO #2 | 호닝형상
NMC-UB310Z | PC잡자재 | 9 | 22,500 | 다이제트 HIM-F1 #1 (#24-2) | CVD/PVD/검사기/소결/프레스/핸들러
07-00-021-0 | Air Blow Brkt | 1 | 22,000 | 2018 공용 자재 구매 | 프레스/핸들러
07-40-82-0 | Tool Cover | 2 | 22,000 | [개발] 듀얼툴 개선개발 | 프레스/핸들러
NKOST10-20 | Knob Bolt | 2 | 21,802 | [개발] 스페이서 테스트지그 | PVD
MC01-6 | Toggle Clamp | 4 | 20,964 | [개발] 스페이서 테스트지그 | PVD
CLS-K2S | Door Lock Key | 10 | 20,000 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스/핸들러
DMRMC050 | PC잡자재 | 1 | 20,000 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/프레스/핸들러
HSP0180-2BNE/B | End Brkt | 10 | 20,000 | 교세라 후지산기핸들러 #1 | 핸들러
07-05-004-0 | COVER | 1 | 20,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-029-0 | Idler Shaft | 1 | 20,000 | 한국야금 복합 툴 | 프레스/핸들러
32-05-26-1 | Guide Brkt_1 | 2 | 20,000 | 교세라 라벨부착기 #1 | 교정
07-05-058-0 | Bearing Spacer | 2 | 20,000 | 2018 공용 자재 구매 | 프레스/핸들러
07-05-050-0 | SPACER | 2 | 20,000 | 한국야금 복합 툴 | 프레스/핸들러
LHCKM8 | Linear Bush | 2 | 19,986 | 교세라(일본) 라벨부착기 #2 | 교정
KD-EN16 | E-STOP 커버 | 35 | 19,800 | [선제작] HIM-F1 #21-2 개조 | 핸들러
HTPA22S3M100-A-P8 | TIMING PULLEY | 2 | 19,520 | 2024 프로젝트외 무상 자재 | 검사기
BYTBK-4075 | Brkt | 12 | 19,200 | 교세라(일본) 라벨부착기 #2 | 교정
AZXHK20-20-M5 | Stopper | 4 | 19,076 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러
FUNTS10 | FUNTS-Fine U Nuts | 1 | 19,019 | 한국야금 복합 툴 | 프레스/핸들러
605ZZ | Bearing | 14 | 18,760 | 화루이 Insert & Spacer PP Unit 판매건 | PVD/포장기/핸들러/호닝형상
PHN300 | Handle | 1 | 18,500 | 상부 반전지그 | 프레스
PSFJ8-240 | Shaft | 4 | 18,468 | 교세라 라벨부착기 #1 | 교정
E-PSFJC10-55-M5-SC25 | Shaft | 6 | 18,252 | [선제작] HIM-F1 #21-2 개조 | 검사기/소결/포장기/핸들러
HSP0180-2BN28R11LINK | Robochain | 1 | 17,600 | 다이제트 HIM-F1 #1 (#24-2) | 핸들러
OR1500700 | O-RING | 29 | 17,400 | 2025 개발용 자재 구매(단품,비프로젝트) | 프레스/핸들러
SBM-SUJ-0.6 | 강구 0.6 | 50 | 16,800 | 2021 개발용 자재 구매(단품,비프로젝트) | 프레스
MTSNR12 | Screw Nut | 1 | 16,113 | 교세라(일본) 라벨부착기 #1 | 교정
07-05-056-0 | WASHER | 2 | 16,000 | 한국야금 복합 툴 | 프레스/핸들러
6703ZZ | Ball Bearing | 2 | 16,000 | 한국야금 복합 툴 | 프레스/핸들러
POW-CODE-EXT | PC잡자재 | 2 | 15,600 | 세라티즈 HIM-F1 #1 (#24-1) | 검사기/핸들러
07-05-052-0 | BRG COVER | 1 | 15,000 | 한국야금 복합 툴 | 프레스/핸들러
BYG8180 | Handle | 10 | 15,000 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/핸들러
KQ2L06-M5N | Fitting | 8 | 14,240 | [개발] 스페이서 테스트지그 | PVD/검사기/포장기/프레스/핸들러
CDJ2B6-45RZ | Cylinder | 1 | 14,180 | 한국교세라 부품 베큠 패드 및 반전 그리퍼 외 | 포장기
PSFG6-50 | Shaft | 11 | 14,014 | 2025 개발용 자재 구매(단품,비프로젝트) | 검사기/프레스/핸들러
MR126 | BALL BEARING | 9 | 13,806 | 한국야금 복합 툴 | 프레스/핸들러
C-PLSBWRK7-40 | Support | 8 | 13,680 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 핸들러
HXN10-8 | Magnet | 5 | 13,245 | 2025 개발용 자재 구매(단품,비프로젝트) | 검사기
CBST4-15 | Bolt | 40 | 12,960 | 2025 프로젝트외 무상 자재 | 포장기
99-102-40-1 | Spacer Guider Cover | 1 | 12,625 | [개발] 스페이서 테스트지그 | PVD
07-38-011-0 | Tool Cover | 1 | 12,000 | 내몽골 2jaw 구매건 | 프레스
99-46-131-1 | Sensor Brkt | 2 | 12,000 | [개발] 스페이서 테스트지그 | PVD
BKS3 | Handle | 1 | 11,869 | [개발] 스페이서 테스트지그 | PVD/검사기
07-05-054-0 | WASHER | 1 | 10,000 | 한국야금 복합 툴 | 프레스/핸들러
07-00-011-1 | Tool Cover | 1 | 10,000 | 2018 공용 자재 구매 | 프레스/핸들러
MR85ZZ | Bearing | 10 | 9,970 | 쯔루이 복합툴 수리건 | 프레스/핸들러
NETW3 | Snap Ring | 36 | 9,792 | 다인정공 F1 #1(#25-1)_ 딥러닝 | CVD/PVD/검사기/소결/포장기/핸들러/호닝형상
92-00-51-3 | Brkt | 2 | 9,000 | [개발] 스페이서 테스트지그 | PVD/검사기
FASGP25-17 | Sponge Cushion | 2 | 8,966 | 교세라(일본) 라벨부착기 #2 | 포장기
HXNN4-8 | Magnetic | 4 | 8,848 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/포장기/핸들러
LHFC8 | Linear Bush | 2 | 8,550 | 2019 개발용 자재 구매 | 검사기
07-05-034-0 | Up Cable Cover | 1 | 8,000 | 한국야금 복합 툴 | 프레스/핸들러
64-05-39-0 | Sensor Brkt | 2 | 8,000 | 2023 프로젝트외 무상 자재 | 소결/프레스/핸들러
07-05-045-0 | Idler Spacer | 1 | 8,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-030-0 | Idler Spacer | 1 | 8,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-051-0 | WASHER | 1 | 8,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-014-0 | Hinge Spacer | 1 | 8,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-007-0 | Gripper Spacer | 1 | 8,000 | 한국야금 복합 툴 | 프레스/핸들러
07-05-061-0 | Spacer | 1 | 8,000 | 한국야금 복합 툴 | 프레스/핸들러
SBM-SUJ-0.8 | 강구0.8 | 24 | 7,560 | 2021 개발용 자재 구매(단품,비프로젝트) | 프레스
CLBUB8-11-3 | Bearing Spacer | 1 | 6,384 | 교세라 라벨부착기 #1 | 교정
ML-U3B050 | PC잡자재 | 1 | 6,100 | 다이제트 HIM-F1 #1 (#24-2) | CVD/검사기/핸들러
M-5ALN-4 | Fitting | 3 | 6,000 | 한국야금 복합 툴 | 프레스/핸들러
22-19-20-0 | Clamp Plate | 2 | 6,000 | 2026 개발용 자재 구매(단품) | 검사기/프레스
07-05-060-0 | Cable Cover | 1 | 6,000 | 한국야금 복합 툴 | 프레스/핸들러
695ZZ | BALL BEARING | 4 | 5,392 | 한국야금 복합 툴 | 프레스/핸들러
HTBN207S3M-100 | Timming Belt | 2 | 5,260 | [선제작] HIM-F1 #21-2 개조 | 핸들러
TUN260XL025 | TIMING BELT | 1 | 5,260 | 한국야금 복합 툴 | 프레스/핸들러
TUN260XL025 | TIMING BELT | 1 | 5,026 | 한국야금 복합 툴 | 프레스/핸들러
LENS-RING-10MM | 접사링 | 1 | 5,000 | 공용자재(미배정) | PVD
07-05-009-0 | Sensor Bracket | 1 | 5,000 | 한국야금 복합 툴 | 프레스/핸들러
636ZZ | BALL BEARING | 2 | 5,000 | 한국야금 복합 툴 | 프레스/핸들러
PAL03 | Sliencer | 7 | 4,872 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스
MC4-32 | Stopper Bolt | 2 | 4,618 | [개발] 스페이서 테스트지그 | PVD
FHC-120 | FAN COVER | 4 | 4,600 | 다인정공 F1 #1(#25-1)_ 딥러닝 | PVD/검사기/핸들러
AS1201F-M5-06A | Speed Controler Fitting | 1 | 4,560 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스/핸들러
07-05-010-0 | Air Blow BKT | 1 | 4,000 | 한국야금 복합 툴 | 프레스/핸들러
686A | BALL BEARING | 2 | 3,200 | 한국야금 복합 툴 | 프레스/핸들러
695ZZ | BALL BEARING | 2 | 3,000 | 한국야금 복합 툴 | 프레스/핸들러
686A | BALL BEARING | 2 | 2,704 | 한국야금 복합 툴 | 프레스/핸들러
AN10-C06 | Silencer | 1 | 2,490 | [개발] 스페이서 테스트지그 | PVD/검사기
TBN190XL025 | TIMING BELT | 1 | 2,489 | 한국야금 복합 툴 | 프레스/핸들러
UF6-15 | Spring | 4 | 2,480 | 중국 교세라 HIM-F1 #1 (#21-2) | 검사기/핸들러
OR1500850 | O-Ring | 4 | 2,400 | 2025 개발용 자재 구매(단품,비프로젝트) | 프레스/핸들러
MDZF10-10 | Bush | 1 | 2,174 | [개발] 스페이서 테스트지그 | PVD/검사기
686ZZ | Bearing | 2 | 2,100 | 2022 무상 C/S 자재 구매 | 포장기
DCBK4040 | 4040BRKT | 4 | 2,000 | 교세라(일본) 라벨부착기 #2 | 프레스/핸들러
NPA25 | O-Ring | 2 | 1,798 | 다인정공 레이저마킹기 #1 | 교정
M-5AN-4 | Fitting | 3 | 1,629 | 2024 개발용 자재 구매(단품,비프로젝트) | 프레스/핸들러
QRAR04112 | Quad_Ring | 1 | 1,500 | OKE 맞춤형 3조 툴  | 프레스/핸들러
USB2.0-AMAM-3M | PC잡자재 | 1 | 1,500 | 교세라(일본) 라벨부착기 #2 | 검사기/소결/프레스/핸들러/호닝형상
684ZZ | Ball Bearing | 1 | 1,300 | 한국야금 복합 툴 | 프레스/핸들러
UL6-15 | Spring | 3 | 1,200 | 다인정공 F1 #1(#25-1)_ 딥러닝 | PVD/검사기/포장기/핸들러/호닝형상
684ZZ | Ball Bearing | 1 | 1,033 | 한국야금 복합 툴 | 프레스/핸들러
LS-USB-AM5P-1.5M | PC잡자재 | 1 | 900 | 다이제트 HIM-F1 #1 (#24-2) | CVD/PVD/검사기/소결/포장기/프레스/핸들러
53-05-63-0 | Glass | 10 | 10 | 교세라(일본) 라벨부착기 #2 | 교정
07-38-19-0-MPN | Air Blow  | 1 | 1 | 내몽골 2jaw 구매건 | 프레스
PKP546N18A2 | Step Motor | 8 | 0 | [개발] 듀얼툴 개선개발 | 프레스
PVHR302-3H-15A | Pressure Relief Valve | 2 | 0 | 교세라 레이저마킹 #1 | 교정
MS15-TTLX10 | Linear Encoder | 3 | 0 | 화루이 리니어 스케일 판매건 | 검사기
LDBC150/60-W12 | Back Light | 1 | 0 | 2025 개발용 자재 구매(단품,비프로젝트) | 포장기
LMK10LUU | Linear Bush | 4 | 0 | 2023 개발용 자재 구매(단품,비프로젝트) | 포장기
96-14-22-0 | X2 MOVING PLT | 1 | 0 | 한국야금 NC10t-1 X2축 로봇 교체건 | 프레스
PHRC070-R-400-20-H-S | Robot | 1 | 0 | 한국야금 NC10t-1 X2축 로봇 교체건 | 프레스/호닝형상
P5 | O-Ring | 1 | 0 | 한국야금 복합 툴 | 프레스/핸들러
MXS8-10-M9BL | Cylinder | 1 | 0 | YG1 후지산기 핸들러 #2 | 핸들러
MXS8L-40A-M9BL | Cylinder | 1 | 0 | 한국야금 Agathon 350 T&B 핸들러 | 핸들러
67-03-65-0 | Gripper Brkt | 4 | 0 | CTA 부품판매건 | PVD
AFM40-04-A | Mist Separator | 1 | 0 | 2025 프로젝트외 무상 자재 | CVD/PVD/검사기/소결/포장기/핸들러/호닝형상
