프로젝트에 장비 키워드 없는 품목 (발주이력 장비유형 있음): 479건

코드 | 품명 | 수량 | 금액 | 프로젝트 | 장비유형
CLPH-S3S-050R | CameraLink Cable | 12 | 1,128,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
07-21-45-0 | Timing Pulley | 16 | 1,120,000 | 한국야금 ATC 툴 개조건 | 프레스
PHRC70-U-500-10-N | Robot | 1 | 1,095,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기
LHFRWMF13 | Linear Bush | 28 | 1,088,696 | 화루이 Insert & Spacer PP Unit 판매건 | PVD/포장기/핸들러/호닝형상
P1083320-012 | ZT-610 600dpi Head | 1 | 1,045,000 | 교세라 라벨부착기 라벨프린터 헤드 판매건 | 포장기
PHRC120-L-650-40-H-S | Robot | 1 | 1,037,500 | 2021 무상 C/S 자재 구매 | 프레스
50-01-31-0 | 3Jaw Pin Ø0.8, DC | 67 | 1,005,000 | 한국교세라 2조그리퍼 외 부품  | PVD
PCIE-POE352AT | PoE+ Frame Grabber | 5 | 1,000,000 | 2026 프로젝트외 무상 자재 | 프레스
512GB-SSD | SSD | 12 | 960,000 | 와이지원 후지산기 #1,2 SSD 교체건 | PVD/교정/프레스/핸들러
PVC-DUCT-100X80 | PVC덕트 | 70 | 959,000 | 2026 소모성자재 구매 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
ABR090-004-S2-P2 | Reducer | 1 | 957,500 | 한국야금 Agathon 350 T&B 핸들러 | 핸들러
07-00-014-2 | BTM Tool Connector Block | 37 | 936,877 | 2025 프로젝트외 무상 자재 | 프레스/핸들러
Film0.45 | Protection Film 4pi  | 1024 | 931,840 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기
FBPJS6 | Ball Plungers | 218 | 925,846 | 2026 개발용 자재 구매(단품) | CVD/PVD/검사기/핸들러
CY1L20H-470B-A73L | Cylinder | 2 | 870,800 | 교세라(일본) 라벨부착기 #2 | 교정
QC-10A-M-K20A | ATC MASTER | 1 | 868,750 | 옌링 오커이 미스터 판매건 | 프레스/핸들러
ESD-30-C | Motor Drive | 7 | 867,034 | 커얼눠 모터 드라이브 판매건 | 프레스/핸들러
QC-10A-M-K20A | ATC MASTER | 1 | 850,000 | 옌링 오커이 미스터 판매건 | 프레스/핸들러
80-06-05-0 | Center Plate | 12 | 847,056 | 2023 프로젝트외 무상 자재 | 소결/프레스
50-03-20-2 | 2Jaw Gripper | 60 | 840,000 |  한국야금 1.5미리 2죠 그립퍼 핀 요청건 | 검사기/교정
CLPH-SS-050R | CameraLink Cable | 10 | 840,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/소결/프레스/핸들러
BY3-56-7 | Magnetic | 324 | 832,032 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
50-03-14-5 | O-Ring Bolt | 60 | 810,000 | 2024 프로젝트외 무상 자재 | PVD/소결/포장기/핸들러
CSD5-02BX1 | Servo Driver | 6 | 807,972 | 2023 자재수리 비용 | CVD/교정
PHRC070-U-450-10-N | Robot | 1 | 791,000 | 다이제트 HIM-F1 #1 (#24-2) | 핸들러
P1083320-011 | ZT-610 300dpi Head | 1 | 790,000 | 2026 프로젝트외 무상 자재 | 포장기
Film1.05 | Protection Film 10pi | 884 | 783,224 | 2025 소모성 자재 구매 | 검사기/핸들러
EX-13B | Sensor | 17 | 747,983 | 2026 프로젝트외 무상 자재 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
LCH6-8 | Bush | 144 | 740,304 | 다이제트 HIM-F1 #1 (#24-2) | 검사기/핸들러
02-60-15-3 | PC Front Door | 4 | 736,000 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러
99-46-48-2 | Guide | 1 | 712,500 | 2023 개발용 자재 구매(단품,비프로젝트) | PVD
LRA90/49-W24 | RING 조명 | 2 | 696,000 | YG1 후지산기 핸들러 #2 | 핸들러
ARM5SA-06-A | Regulator | 34 | 682,720 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
50-05-02-0 | Magnet Body | 22 | 682,000 | 화루이 마그네틱 15파이 8파이 0.8, 1.0 그피러 핀 구매 요청 건 | CVD/PVD/핸들러/호닝형상
07-80-008-2 | Connector Block | 25 | 675,000 | 쯔루이 툴 핀 블럭 등 판매건 | 프레스
MSQB10A-M9BL | Cylinder | 3 | 668,340 | 교세라(일본) 라벨부착기 #2 | 포장기
50-13-25-0 | Gripper Holder | 10 | 650,000 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/핸들러
NA-9289 | Modbus Adapter | 2 | 640,000 | 한국야금 20-7호기 I/O Module 교체건 | 검사기/호닝형상
NHC1D-16 | Cylinder | 2 | 640,000 | [개발] ATC모듈개발 | PVD/포장기
50-03-22-1 | P2Jaw Cap 8.0mm(1.0), Ø9. | 311 | 628,842 | 쫜스(창즈예) 2죠 툴뭉치  판매건 | PVD/소결
50-05-03-1 | End Cover | 20 | 620,000 | 대구텍 그리퍼 3종 요청건 | CVD/PVD/핸들러/호닝형상
SLA-1A-BT-PA | IO INTERFACE MODULE | 30 | 609,030 | 주주 오커이 Servo Limit Adapter 판매건 | 검사기/프레스/핸들러
01-00-012-0 | PC Brkt | 215 | 606,000 | 교세라(일본) 라벨부착기 #2 | CVD/PVD/검사기/소결/포장기/프레스/핸들러
SCPW21-5-6 | Coupling | 21 | 600,026 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
50-03-06-0 | 2Jaw Gripper | 15 | 600,000 | 2020 무상 C/S 자재구매 | PVD/소결/포장기
50-13-13-0 | Magnet Plunger | 14 | 574,000 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/소결/핸들러
67-03-38-0 | Gripper(AP16)-좌 | 9 | 566,973 | 쫜스 3 Jaw Gripper Holder 1.2 & 센터링 핀Ø4 &  | CVD/PVD
50-01-32-0 | 3Jaw Pin Holder Ø1.2, 2P | 7 | 525,000 | 대구텍 1.2 그리퍼 홀더 판매건 | 포장기
CL26-085-HF-SARTS-50 | CameraLink 케이블 | 5 | 510,000 | 2023 프로젝트외 무상 자재 | 검사기
10-41-03-0 | Angle | 24 | 504,000 | 2025 프로젝트외 무상 자재 | 소결/프레스/핸들러
67-03-39-0 | Gripper(AP16)-우 | 8 | 503,976 | 쫜스 3 Jaw Gripper Holder 1.2 & 센터링 핀Ø4 &  | CVD/PVD
6806ZZ | Bearing | 93 | 494,574 | 화루이 Insert & Spacer PP Unit 판매건 | PVD/포장기/핸들러/호닝형상
EZI-PE-60L-A | EZI-SERVOII-PE-60L-A | 1 | 492,952 | 2025 개발용 자재 구매(단품,비프로젝트) | CVD
58864 | blank kinematic mirror mo | 4 | 487,600 | [과제] ATC 3차 | 검사기/호닝형상
22-99-09-0 | Side Chuck (Ø8) | 4 | 480,000 | [선제작] HIM-F1 #21-2 개조 | 핸들러
50-13-30-1 | Magnet Gripper | 8 | 480,000 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
SFJW4-47-M2-N2 | Shaft | 40 | 479,800 | 조명제작(밀링 측면)-종료 | 검사기
EZI-SP-80-H-60-C-R10 | Ezi-SPEED-80-H-60-C-R10-P | 2 | 459,800 | 2020 무상 C/S 자재구매 | 검사기
EZI-PE-42XL-A | EZI-SERVOII-PE-42XL-A | 1 | 453,069 | 2025 개발용 자재 구매(단품,비프로젝트) | CVD/검사기/호닝형상
50-01-01-0 | 3Jaw Tool Holder 13mm | 5 | 450,000 | 한국야금 메가 #4 3죠툴 홀더 요청건 | CVD/PVD/검사기/소결/포장기/핸들러/호닝형상
91-50-26-0-MPN | Glass Bracket | 222 | 444,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/교정
50-03-12-1 | Sub Block | 22 | 440,000 | 한국교세라 소모품 및 기타 부품 외 | 교정
92-00-58-1 | 회전 Wing | 33 | 429,000 | OKE 부품 Large Pin 등 판매건 | PVD
67-03-35-4 | Gripper Brkt | 8 | 424,000 | 2024 개발용 자재 구매(단품,비프로젝트) | PVD
ZT610-P1083320-056 | ZT610 Drive Belt (All dpi | 6 | 420,000 | 교세라 라벨부착기 라벨프린터 헤드 판매건 | 교정
ZC10-350L-0.05-U1 | Air Knife | 2 | 420,000 | 중국 교세라 HIM-F1 #1 (#21-2) | 검사기/핸들러
BRW10 | Support Unit | 5 | 419,095 | 교세라 후지산기핸들러 #1 | 핸들러
KAAM20-16B-B | Absorber | 8 | 415,440 | 세라티즈 HIM-F1 #1 (#24-1) | 검사기/핸들러
7904A5DB | Bearing | 4 | 396,000 | 교세라(일본) 라벨부착기 #1 | 교정
ACA2500-14GC | GigE Camera | 1 | 395,000 | 로봇사업 개발 자재 구매 | 검사기
THBS-BNK1510-0400 | Ball Screw | 2 | 390,000 | 교세라 라벨부착기 #1 | 교정
S-ATJ02D | Lift Assist Stay | 8 | 381,840 | 세라티즈 HIM-F1 #1 (#24-1) | 핸들러
BGY5-40-20-15 | Miniature Ball Guide | 40 | 380,440 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/핸들러
50-03-29-0 | P2Jaw Cap 10.0mm, Ø12.0 | 182 | 380,380 | 다이제트 HIM-F1 #1 (#24-2) | 포장기
PTV100C4-4E2-DC24SR | Solenoid Valve | 6 | 367,200 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
ZC10-250L-0.05-U1 | Air Knife | 2 | 360,000 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
92-02-16-2 | Spacer Jig (4파이-10) | 1 | 360,000 | 주주쫜스 스페이서 지그(4-10mm) 판매건 | PVD
50-13-26-1 | Cylinder Body | 6 | 360,000 | [선제작] HIM-F1 #21-2 개조 | CVD/검사기/핸들러
07-00-019-1 | Air Blower Nozzle | 5 | 350,000 | 2018 공용 자재 구매 | 프레스/핸들러
22-99-05-2 | Side Chuck (Milling-L) | 6 | 345,600 | [선제작] HIM-F1 #21-2 개조 | 검사기/핸들러
ZP2-TB20MBU-H5 | Vacuum Pad | 27 | 340,200 | 일본교세라 라벨 부착기 부속품 요청건 | 포장기
CRK566AK | STEPPING MOTOR | 1 | 340,000 | 2018 공용 자재 구매 | 프레스/핸들러
50-02-56-0 | 2Jaw Pin 14.5mm 2.0-6.0 | 4 | 340,000 | 대구텍 그리퍼 3종 요청건 | 검사기
67-99-01-0 | Gripper(V16) | 6 | 333,600 | 탕가로이 반전 그리퍼 판매건 | PVD
22-52-02-0 | Camera Tilting Stage | 6 | 333,000 | Side Vision Unit | 검사기
BMC-3B12-H-S | BMC-3B12[H]/S | 2 | 325,380 | 내몽골 2jaw 구매건 | 프레스
S5M-25W-3240L | Belt | 2 | 324,000 | [선제작] HIM-F1 #21-2 개조 | 검사기/소결/핸들러
50-08-11-0 | 2Jaw Gripper (Festo) | 2 | 321,090 | 2025 프로젝트외 무상 자재 | 프레스
NA-9189 | Modbus Adapter | 1 | 320,000 | 자화전자 편면 I/O 모듈어뎁터 교체건 | 프레스/핸들러/호닝형상
07-00-008-1 | TIMING PULLEY B | 8 | 317,856 | 2021 개발용 자재 구매(단품,비프로젝트) | 프레스/핸들러
22-52-01-0 | Side Vision Plate | 6 | 315,540 | 2025 조명 내부제작 구매용 | 검사기
